frequency,collar_max_magnitude
1,0.000204482250107007
10,0.000204650884141605
20,0.000205035568478947
30,0.000205587911843247
40,0.000206259788342134
50,0.000206943411032934
100,0.000211827449821183
150,0.000216860775756645
200,0.000227622577790623
250,0.000236245114173522
300,0.000239707603219165
350,0.000238047904034334
400,0.000232200867322726
450,0.000225250179856031
500,0.000229100220372058
550,0.000241348112818176
600,0.000275150557516099
650,0.000228708783570095
700,0.00021279371258425
750,0.000208450589677966
800,0.000208078827299044
850,0.000225707426784018
900,0.000219565357529552
