frequency,relative_magnitude
1,2.93149052907871
10,2.92671480077341
20,2.91677902057013
30,2.90231847903876
40,2.88977250199628
50,2.8829898753975
100,2.85786856802188
150,2.92105567266816
200,2.7413254804199
250,2.64926285901085
300,2.70065856174803
350,2.8427896530334
400,2.63455526148007
450,2.27055787081367
500,2.22737078463778
550,1.87638838978314
600,1.38517708805106
650,0.332538354464629
700,2.66436139471479
750,2.38359344613297
800,2.1630308150058
850,2.17801506222073
900,2.00637130417639
