frequency,spigot_max_magnitude,collar_max_magnitude,stem_max_magnitude
1,6.97536792558803e-05,0.000204482250107007,0.000273401829351448
10,6.99251201680203e-05,0.000204650884141605,0.000278376673658539
20,7.02952013275482e-05,0.000205035568478947,0.000289183258723
30,7.08357519438516e-05,0.000205587911843247,0.000303371405313188
40,7.13757876094566e-05,0.000206259788342134,0.000314581212326241
50,7.17808316979957e-05,0.000206943411032934,0.000317590660281116
100,7.4120780847456e-05,0.000211827449821183,0.00033263630230956
150,7.4240548643347e-05,0.000216860775756645,0.0003983924161058
200,8.30337657517988e-05,0.000227622577790623,0.000484238205825159
250,8.9173904873195e-05,0.000236245114173522,0.000586335346281844
300,8.87589444346537e-05,0.000239707603219165,0.00060068975259808
350,8.37374315684333e-05,0.000238047904034334,0.000683553795140249
400,8.81366470909693e-05,0.000232200867322726,0.000891111283560455
450,9.92047737480971e-05,0.000225250179856031,0.00112278342083184
500,0.000102856795084216,0.000229100220372058,0.00150138965116509
550,0.000128623750888839,0.000241348112818176,0.00219106769859463
600,0.000198639264170356,0.000275150557516099,0.00459932115242239
650,0.000687766630523884,0.000228708783570095,0.0232723225273061
700,7.98666851300137e-05,0.00021279371258425,0.00337578968488728
750,8.74522414953553e-05,0.000208450589677966,0.00178330017771125
800,9.61978099690114e-05,0.000208078827299044,0.0011847858345297
850,0.000103629874145078,0.000225707426784018,0.00091554720892364
900,0.000109434059923261,0.000219565357529552,0.000800852570305834
