frequency,spigot_max_magnitude
1,6.97536792558803e-05
10,6.99251201680203e-05
20,7.02952013275482e-05
30,7.08357519438516e-05
40,7.13757876094566e-05
50,7.17808316979957e-05
100,7.4120780847456e-05
150,7.4240548643347e-05
200,8.30337657517988e-05
250,8.9173904873195e-05
300,8.87589444346537e-05
350,8.37374315684333e-05
400,8.81366470909693e-05
450,9.92047737480971e-05
500,0.000102856795084216
550,0.000128623750888839
600,0.000198639264170356
650,0.000687766630523884
700,7.98666851300137e-05
750,8.74522414953553e-05
800,9.61978099690114e-05
850,0.000103629874145078
900,0.000109434059923261
