frequency,stem_max_magnitude
1,0.000273401829351448
10,0.000278376673658539
20,0.000289183258723
30,0.000303371405313188
40,0.000314581212326241
50,0.000317590660281116
100,0.00033263630230956
150,0.0003983924161058
200,0.000484238205825159
250,0.000586335346281844
300,0.00060068975259808
350,0.000683553795140249
400,0.000891111283560455
450,0.00112278342083184
500,0.00150138965116509
550,0.00219106769859463
600,0.00459932115242239
650,0.0232723225273061
700,0.00337578968488728
750,0.00178330017771125
800,0.0011847858345297
850,0.00091554720892364
900,0.000800852570305834
