frequency,relative_magnitude
1,3.91953273673947
10,3.98106821968469
20,4.11384067847702
30,4.28274419326638
40,4.40739391973536
50,4.42444943543311
100,4.48776036229489
150,5.36623749939787
200,5.83182277042119
250,6.57518976112587
300,6.76765318046703
350,8.16306139723934
400,10.1105648214721
450,11.3178366162382
500,14.5968931847021
550,17.0347053592631
600,23.1541390954707
650,33.8375278683979
700,42.2678076521129
750,20.3917034854499
800,12.3161414476209
850,8.8347806699245
900,7.3181290255284
