offset,spigot_max_displacement,collar_max_displacement,stem_max_displacement
1,7.82315117502769e-05,0.000213086909676121,0.000500931345247868
3,8.05073124815921e-05,0.00022862966698041,0.000515548749309672
5,8.14547083770773e-05,0.000217221605054921,0.000532005022800043
7,8.30566939663157e-05,0.000229492188834323,0.000548141260091318
9,8.47712999941194e-05,0.000231738081638496,0.000564709693733308
11,8.7039786579273e-05,0.000239249778157881,0.00058219353276541
13,8.95075425787216e-05,0.000251127406422353,0.000600368503642247
15,9.19433592167641e-05,0.000257544105704003,0.000619557175671964
17,9.51397158702036e-05,0.000271187578409847,0.000639902126668877
19,9.80810778669887e-05,0.000277956627373526,0.00066145333041719
21,0.000102187935081892,0.000292633980329528,0.000684429539289289
23,0.000107170208448547,0.00031601567863057,0.000708915627139234
25,0.000112251095155502,0.000330964655458588,0.000734999818842093
27,0.000118171606301884,0.00035629840233978,0.000763361503958977
29,0.000122866616832832,0.000378059911432946,0.000799678948844632
31,0.00012913703645543,0.000406744280918552,0.000840428577977226
33,0.000139342608219645,0.000442548099648093,0.00088590054378979
35,0.000146731248272439,0.00047801282531992,0.000937513613009608
37,0.000162486158693624,0.000523565831039076,0.000996671869755019
39,0.000174153879123286,0.000580020526463715,0.00107220067621439
