time-percent,frequency-1Hz,frequency-10Hz,frequency-20Hz,frequency-30Hz,frequency-40Hz,frequency-50Hz,frequency-100Hz,frequency-150Hz,frequency-200Hz,frequency-250Hz,frequency-300Hz,frequency-350Hz,frequency-400Hz,frequency-450Hz,frequency-500Hz,frequency-550Hz,frequency-600Hz,frequency-650Hz,frequency-700Hz,frequency-750Hz,frequency-800Hz,frequency-850Hz,frequency-900Hz
0.1,0,0,0,0,0,0,-9.92440827296548e-08,-2.43837974500671e-06,0,0,0,-2.24839194301607e-05,-0.00054243757902106,-0.00271567513959547,-0.0134226094313988,-0.0298868146083978,-0.0931254510208976,-0.216153135448498,-0.231675139239885,-0.289993306482865,-0.325922071207324,-0.335289951943825,0
0.15,0,0,0,0,0,0,-9.92440827296548e-08,-2.32589880777567e-06,0,0,0,0,-1.79973354019758e-05,-0.000459985367778915,-0.00256330784528336,-0.0124839502353737,-0.0436086751008422,-0.124316379288533,-0.18144550557901,-0.220906525944945,-0.259534724237121,-0.296848806941918,0
0.2,0,0,0,0,0,0,-9.77211649377807e-08,-2.21514196718786e-06,0,0,0,0,0,-4.90073485007736e-05,-0.000590827412833561,-0.00468029131797998,-0.0208615442749099,-0.0678718289454803,-0.108858975020539,-0.167845009234346,-0.209683147660511,-0.256320613252964,0
0.25,0,0,0,0,0,0,-9.77211649377807e-08,-2.10438510162003e-06,0,0,0,0,0,-7.27246419607308e-06,-0.000154487125079816,-0.00126201151636052,-0.00875483368421615,-0.0362969993393327,-0.0599844867312203,-0.10753715484335,-0.165887717845881,-0.191177822426096,0
0.3,0,0,0,0,0,0,-9.77211649377807e-08,-1.99362821196036e-06,0,0,0,0,0,0,-3.05013255520459e-05,-0.000529013495671804,-0.00318959424823173,-0.020716646295441,-0.0487195717634231,-0.0785185755942928,-0.126492121485161,-0.164049456306018,0
0.35,0,0,0,0,0,0,-9.77211649377807e-08,-1.88287129754272e-06,0,0,0,0,0,0,-9.65693338628171e-06,-0.000134679754743572,-0.00152960508463962,-0.0111853567852648,-0.0273347506752042,-0.0566879525887128,-0.0928904407329618,-0.138840384694451,0
0.4,0,0,0,0,0,0,-9.77211649377807e-08,-1.77211435881119e-06,0,0,0,0,0,0,-1.43430928101207e-06,-5.10788670126106e-05,-0.000677641846099974,-0.00483691329253955,-0.0145727053230578,-0.0405414792297379,-0.0655682554381198,-0.0984077796802776,0
0.45,0,0,0,0,0,0,-1.52291790289638e-09,-1.55060040729627e-06,0,0,0,0,0,0,-5.74011228327009e-07,-1.6710368579087e-05,-0.000320523604052214,-0.00261263633295972,-0.0105132811461719,-0.0246136410226219,-0.0485746774226371,-0.08156808285902,0
0.5,0,0,0,0,0,0,-1.52291790289638e-09,-1.43984339473491e-06,0,0,0,0,0,0,-1.43511325045864e-09,-2.72223462360888e-06,-0.000151200757925296,-0.00163891636720548,-0.00638269113461776,-0.0177350733260625,-0.035778430396973,-0.064796588118164,0
0.55,0,0,0,0,0,0,-1.52291790289638e-09,-1.32908635785967e-06,0,0,0,0,0,0,0,0,-7.28284340775209e-05,-0.000620958745621292,-0.00337385572761828,-0.0117738229514783,-0.0274628966343679,-0.0459525839693085,0
0.6,0,0,0,0,0,0,-1.52291790289638e-09,-1.10757221027935e-06,0,0,0,0,0,0,0,0,-3.86953625483022e-05,-0.000433521533824588,-0.0024001597003015,-0.00811011344771206,-0.0192407177580632,-0.0368408843178024,0
0.65,0,0,0,0,0,0,-1.52291790289638e-09,-9.96815099796322e-07,0,0,0,0,0,0,0,0,-2.04620939143751e-05,-0.000219892987891046,-0.00142307253292839,-0.00527267335702353,-0.013791809000912,-0.023699965055141,0
0.7,0,0,0,0,0,0,-1.52291790289638e-09,-8.86057964444298e-07,0,0,0,0,0,0,0,0,-1.14764768374132e-05,-8.2572896216826e-05,-0.000646416566871033,-0.0036254290843476,-0.00937347582741499,-0.0187020008150361,0
0.75,0,0,0,0,0,0,0,-6.64543620576552e-07,0,0,0,0,0,0,0,0,-7.50557479978209e-06,-6.94957531960361e-05,-0.000500054144033979,-0.00197714057901821,-0.00592003624484294,-0.0143719637122536,0
0.8,0,0,0,0,0,0,0,-5.53786411949808e-07,0,0,0,0,0,0,0,0,-4.91621690501542e-06,-2.49602909344615e-05,-0.000261409141162794,-0.00125481607562883,-0.00336891521376848,-0.00780318772267452,0
0.85,0,0,0,0,0,0,0,-3.32271920866489e-07,0,0,0,0,0,0,0,0,-3.10452736884681e-06,-1.48239017248031e-05,-9.00566051417195e-05,-0.000737359593501408,-0.00193846483073923,-0.00519572548508773,0
0.9,0,0,0,0,0,0,0,-2.21514638298892e-07,0,0,0,0,0,0,0,0,-1.46537403622471e-06,-6.44500607249743e-06,-4.01921852818399e-05,-0.000223722036015173,-0.00108973903105747,-0.0032047781573511,0
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
