time-percent,frequency-1Hz,frequency-10Hz,frequency-20Hz,frequency-30Hz,frequency-40Hz,frequency-50Hz,frequency-100Hz,frequency-150Hz,frequency-200Hz,frequency-250Hz,frequency-300Hz,frequency-350Hz,frequency-400Hz,frequency-450Hz,frequency-500Hz,frequency-550Hz,frequency-600Hz,frequency-650Hz,frequency-700Hz,frequency-750Hz,frequency-800Hz,frequency-850Hz,frequency-900Hz
0.1,0,0,0,-4.16975149963861e-08,0,0,-1.19143592658411e-07,-2.45102996410118e-06,0,0,0,-1.84178886969422e-05,-0.000445880996021386,-0.00220615009319947,-0.0107444558609454,-0.0234083471996661,-0.0711726938414905,-0.141619560609605,-0.249437564600845,-0.293524134059903,-0.328541736516109,-0.336671237421945,0
0.15,0,0,0,-4.16975149963861e-08,0,0,-1.19143592658411e-07,-2.33922836490041e-06,0,0,0,0,-1.48453051488362e-05,-0.00037337304798235,-0.00204692330152256,-0.00973592083619068,-0.0328600895753457,-0.0642516719576506,-0.184693095857285,-0.223855719540687,-0.261825332440417,-0.298142290993736,0
0.2,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-2.22742674171883e-06,0,0,0,0,0,-3.96430194934405e-05,-0.000471617287244985,-0.00364298586402734,-0.0156196761232968,-0.0481666303090007,-0.110978057729469,-0.170236939352476,-0.211657756443219,-0.257501795320047,0
0.25,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-2.11562509344621e-06,0,0,0,0,0,-5.77214145192073e-06,-0.000123308325099103,-0.000981400350355766,-0.006534490633196,-0.0205858108245824,-0.0612153279731037,-0.109179333009081,-0.167536069012251,-0.192135734272949,0
0.3,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-1.9608249303138e-06,0,0,0,0,0,0,-2.43910081214604e-05,-0.000411230408173702,-0.00237909933230929,-0.0119023810178661,-0.0497311151037733,-0.0797559512017636,-0.127808062409205,-0.164898955540777,0
0.35,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-1.8490232244206e-06,0,0,0,0,0,0,-7.66265017548839e-06,-0.000104632021382667,-0.00114203738438168,-0.00743467811204901,-0.0279148482111966,-0.0576019038285396,-0.0938938257017292,-0.139581051286033,0
0.4,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-1.73722149166e-06,0,0,0,0,0,0,-1.18317266561974e-06,-3.96778058655567e-05,-0.000507512249045439,-0.00269388206637822,-0.0148859629898714,-0.0412059064303943,-0.0662977660961016,-0.0989572774240598,0
0.45,0,0,0,-4.16975149963861e-08,0,0,-9.88287817138556e-08,-1.55948679447793e-06,0,0,0,0,0,0,-4.55066732629739e-07,-1.2935308564499e-05,-0.000241463787942209,-0.0021998521647677,-0.0107401164221943,-0.0250232706753047,-0.0491248301843603,-0.0820320370484359,0
0.5,0,0,0,-4.16975149963861e-08,0,0,-4.06296295496489e-08,-1.44768499399373e-06,0,0,0,0,0,0,-7.3430551750242e-08,-2.1130961870286e-06,-0.000115209367310909,-0.000962636081634383,-0.00652097457124545,-0.0180320304986752,-0.0361890643506071,-0.065171884461334,0
0.55,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-1.269950194005e-06,0,0,0,0,0,0,0,0,-5.66541797379916e-05,-0.00049471226092257,-0.00344710304242934,-0.0119718583873148,-0.0277808385083981,-0.0462241445290256,0
0.6,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-1.1581483317924e-06,0,0,0,0,0,0,0,0,-3.09990598912346e-05,-0.000317217721816143,-0.00245236428888973,-0.00824673377436025,-0.0194653979969477,-0.0370606556022038,0
0.65,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-9.80413428885996e-07,0,0,0,0,0,0,0,0,-1.71553964144477e-05,-0.000118158516017042,-0.00145402392041249,-0.00536155082621437,-0.0139536916707469,-0.0238432416258072,0
0.7,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-8.45677047056625e-07,0,0,0,0,0,0,0,0,-1.01658561821871e-05,-7.86881952968832e-05,-0.000660388486512287,-0.00368649743728433,-0.00948403777710549,-0.0188155743608556,0
0.75,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-6.67942032461788e-07,0,0,0,0,0,0,0,0,-6.83664582445953e-06,-3.90763582767129e-05,-0.000510845270235261,-0.0020102621935395,-0.00599011009478967,-0.0144596474285442,0
0.8,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-4.9020695325197e-07,0,0,0,0,0,0,0,0,-4.65192887222354e-06,-1.15376478769802e-05,-0.000267097748810285,-0.00127580759463297,-0.0034088565396676,-0.0078511196476162,0
0.85,0,0,0,-4.16975149963861e-08,0,0,-2.03148142752241e-08,-3.78404918621733e-07,0,0,0,0,0,0,0,0,-2.93353728875179e-06,-8.96570289221632e-06,-9.19422893946864e-05,-0.000749587315147626,-0.00196147174771311,-0.00522775028081623,0
0.9,0,0,0,0,0,0,0,-1.77735253514832e-07,0,0,0,0,0,0,0,0,-1.43917128281323e-06,-2.18931351547713e-06,-4.1016512386971e-05,-0.000227343769971355,-0.00110275715497798,-0.00322459636377326,0
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
