time-percent,frequency-1Hz,frequency-10Hz,frequency-20Hz,frequency-30Hz,frequency-40Hz,frequency-50Hz,frequency-100Hz,frequency-150Hz,frequency-200Hz,frequency-250Hz,frequency-300Hz,frequency-350Hz,frequency-400Hz,frequency-450Hz,frequency-500Hz,frequency-550Hz,frequency-600Hz,frequency-650Hz,frequency-700Hz,frequency-750Hz,frequency-800Hz,frequency-850Hz,frequency-900Hz
0.1,0,0,0,0,0,0,-1.43423047438418e-07,-2.39555747849618e-06,-6.98007247557086e-08,-1.80066295207837e-10,-2.28578896255272e-07,-3.60420236354964e-05,-2.95336768330046e-06,-0.00302612140038494,-0.00801162908490449,-0.0221435179728949,-0.0555137531260665,-0.0848077090496356,-0.146514794764696,-0.202729697961895,-0.250349860364041,-0.29982273680837,0
0.15,0,0,0,0,0,0,-1.43423047438418e-07,-2.31566169339725e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.01804299990071e-07,-2.95336768330046e-06,-0.00035928238001337,-0.00243560934105613,-0.00893848415535992,-0.0262923677999352,-0.0530799996816566,-0.0796997371195444,-0.13273773924201,-0.189191076477325,-0.259043477680677,0
0.2,0,0,0,0,0,0,-1.43186753343016e-07,-2.15613441112428e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,-2.199331932351e-06,-6.43567272055057e-05,-0.00054331695903298,-0.00283544379086909,-0.0108788866627813,-0.0205832882488518,-0.0537113572612854,-0.0981301509127496,-0.165048084248168,-0.226724408917914,0
0.25,0,0,0,0,0,0,-7.17115309356586e-08,-2.07623858783368e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,-1.257822157541e-07,-6.91594472745916e-06,-0.00013140772787823,-0.000954528178272906,-0.00397772217241199,-0.0150180218391242,-0.0381054778895158,-0.0716440117039644,-0.122398687130279,-0.166639786221518,0
0.3,0,0,0,0,0,0,-7.17115309356586e-08,-1.91644690283876e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-1.59673733179932e-06,-3.50278027048123e-05,-0.000370472546086908,-0.00194383964622291,-0.00748043100124685,-0.0195415313964655,-0.0517744012871547,-0.0871583449794114,-0.140954571750732,0
0.35,0,0,0,0,0,0,-7.17115309356586e-08,-1.83655104135649e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-4.56861563691291e-07,-4.87731911569256e-06,-9.90470982040748e-05,-0.00084346264885915,-0.00310562010943694,-0.0129777211807202,-0.0313162156504835,-0.0664634756706265,-0.119438115276156,0
0.4,0,0,0,0,0,0,-7.17115309356586e-08,-1.67702360598376e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-4.56325961906145e-07,-1.86226631593289e-06,-4.09222113225693e-05,-0.000403874995816955,-0.00250563169174234,-0.00904245633480427,-0.0222014175996246,-0.0493128995136689,-0.0836709692193933,0
0.45,0,0,0,0,0,0,-7.17115309356586e-08,-1.51723179342422e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-4.56325961906145e-07,-1.77844259985349e-07,-1.72099417246052e-05,-0.000184753578351349,-0.000966306244944204,-0.00454920744453824,-0.0156379801227596,-0.0353196914956611,-0.0699245563484238,0
0.5,0,0,0,0,0,0,-7.17115309356586e-08,-1.43733586799311e-06,-6.98007247557086e-08,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-4.56325961906145e-07,-8.89221416500163e-08,-5.3037691146729e-06,-8.84015981578168e-05,-0.000654221077000194,-0.0030196054621664,-0.0109424394623869,-0.0243402577771256,-0.0511087961031834,0
0.55,0,0,0,0,0,0,-7.17115309356586e-08,-1.27754396994639e-06,0,0,-7.57669941231498e-08,-1.00438100725242e-07,0,-4.56325961906145e-07,0,-2.70205876462537e-06,-4.47981055998747e-05,-0.000345821248836975,-0.00194505226773112,-0.00685712936279381,-0.0201007275063337,-0.0383364099845315,0
