frequency,stem_relative_magnitude,collar_relative_magnitude,spigot_relative_magnitude
1,3.91880878440584,2.93154522831706,1
10,3.9192768930763,2.93152143840431,1
20,3.92088747628721,2.93143836386113,1
30,3.92352976456776,2.93123374912789,1
40,3.92681280037572,2.93096824491102,1
50,3.93193289018318,2.93074345005274,1
100,3.98706268128985,2.92808914441921,1
150,4.0366874340637,2.92466462868338,1
200,4.05423609401109,2.92510396749452,1
250,4.2971189297516,2.91467619415973,1
300,4.48220697190624,2.90944543619642,1
350,4.75703152624846,2.90611170143184,1
400,5.57329070901551,2.85767234944463,1
450,5.49802299673953,2.90078754607082,1
500,5.58621203166984,2.89818109156944,1
550,6.78605021006255,2.87176173488667,1
600,7.81943650874682,2.86493251095667,1
650,9.34855445575085,2.99426841036018,1
700,8.99130204263021,3.44768925868555,1
750,8.52925265522167,3.43938313545391,1
800,7.68880664033226,3.4282561743791,1
850,6.82779358091188,3.41829176115522,1
900,6.17249044414758,3.40298202911319,1
