offset,spigot_max_displacement,stem_max_displacement,collar_max_displacement
1,6.67972072771588e-09,2.64853514605031e-08,1.95689463559988e-08
3,6.48876100532852e-09,2.57279914769533e-08,1.90136363896097e-08
5,6.29787094711658e-09,2.49710992780117e-08,1.84427708448004e-08
7,6.10666813210788e-09,2.42129139929718e-08,1.78923875672992e-08
9,5.91580117752988e-09,2.34561925847027e-08,1.73285370288256e-08
11,5.72479152624685e-09,2.26988006010066e-08,1.67698228189119e-08
13,5.53383371852285e-09,2.19414423972066e-08,1.62158130650657e-08
15,5.3427715062872e-09,2.11840593180886e-08,1.56541290360759e-08
17,5.15182920313971e-09,2.04266708645516e-08,1.50978788501047e-08
19,4.96073374462522e-09,1.96692700114862e-08,1.45376380924848e-08
21,4.76973621623388e-09,1.89119011527102e-08,1.397898613634e-08
23,4.57884130700543e-09,1.81545589431341e-08,1.34217364772314e-08
25,4.38771960045094e-09,1.73972061431003e-08,1.28621069794634e-08
27,4.196899129722e-09,1.66398674607532e-08,1.23041815705819e-08
29,4.00586224934153e-09,1.58825182818007e-08,1.17449272505266e-08
31,3.81504538676157e-09,1.51252170209622e-08,1.11861807635862e-08
33,3.62446439869897e-09,1.43679547795348e-08,1.06279022385564e-08
35,3.43331400660254e-09,1.36106768694428e-08,1.00687858290473e-08
37,3.24296348515718e-09,1.28534668957893e-08,9.51021851430965e-09
39,3.05149050304994e-09,1.20961662068576e-08,8.95118354004116e-09
